master_order_id,dist_names,retailer_names,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,R_Rank,F_Rank,M_Rank,RFM_Score,Clust,Customer_Segment
25809,DistName6,RetailerID94,307,15,2749.53,1,5,1,20.0,100.0,20.0,2.12,3,Low Value Customers
25810,DistName8,RetailerID9,307,8,1262.01,1,3,3,20.0,60.0,60.0,2.7,4,Potential-Medium Customers
25811,DistName6,RetailerID9,307,17,2173.6,1,5,2,20.0,100.0,40.0,2.69,3,Potential-Medium Customers
25812,DistName3,RetailerID7,307,3,515.46,1,1,5,20.0,20.0,100.0,3.28,4,Medium Value Customers
25813,DistName5,RetailerID119,307,1,614.2,1,1,4,20.0,20.0,80.0,2.71,4,Potential-Medium Customers
25814,DistName4,RetailerID71,307,6,1434.59,1,3,3,20.0,60.0,60.0,2.7,4,Potential-Medium Customers
25815,DistName1,RetailerID58,307,1,1586.4,1,1,2,20.0,20.0,40.0,1.57,4,Lost Customers
25817,DistName6,RetailerID9,306,6,463.01,1,3,5,20.0,60.0,100.0,3.84,4,Medium Value Customers
25818,DistName3,RetailerID79,306,15,1692.75,1,5,2,20.0,100.0,40.0,2.69,4,Potential-Medium Customers
25819,DistName8,RetailerID90,306,9,1605.68,1,4,2,20.0,80.0,40.0,2.41,4,Low Value Customers
25821,DistName7,RetailerID81,306,4,612.31,1,2,4,20.0,40.0,80.0,2.99,4,Potential-Medium Customers
25822,DistName3,RetailerID42,306,2,434.1,1,1,5,20.0,20.0,100.0,3.28,4,Medium Value Customers
25823,DistName3,RetailerID80,306,23,6409.95,1,5,1,20.0,100.0,20.0,2.12,2,Low Value Customers
25824,DistName7,RetailerID81,306,4,1271.18,1,2,3,20.0,40.0,60.0,2.42,4,Low Value Customers
25825,DistName3,RetailerID95,306,6,663.68,1,3,4,20.0,60.0,80.0,3.27,4,Medium Value Customers
25826,DistName3,RetailerID95,306,4,1254.23,1,2,3,20.0,40.0,60.0,2.42,4,Low Value Customers
25827,DistName3,RetailerID95,306,7,656.55,1,3,4,20.0,60.0,80.0,3.27,4,Medium Value Customers
25828,DistName7,RetailerID81,306,14,1876.94,1,5,2,20.0,100.0,40.0,2.69,4,Potential-Medium Customers
25830,DistName3,RetailerID56,306,4,1447.89,1,2,3,20.0,40.0,60.0,2.42,4,Low Value Customers
25831,DistName5,RetailerID8,306,3,687.68,1,1,4,20.0,20.0,80.0,2.71,4,Potential-Medium Customers
25832,DistName1,RetailerID36,306,1,1000.0,1,1,3,20.0,20.0,60.0,2.14,4,Low Value Customers
25833,DistName7,RetailerID8,306,8,1347.52,1,3,3,20.0,60.0,60.0,2.7,4,Potential-Medium Customers
25834,DistName4,RetailerID94,306,9,1051.09,1,4,3,20.0,80.0,60.0,2.98,4,Potential-Medium Customers
25835,DistName5,RetailerID94,335,5,767.39,1,2,4,20.0,40.0,80.0,2.99,4,Potential-Medium Customers
25836,DistName7,RetailerID96,335,9,1192.27,1,4,3,20.0,80.0,60.0,2.98,4,Potential-Medium Customers
25837,DistName4,RetailerID79,335,6,675.31,1,3,4,20.0,60.0,80.0,3.27,4,Medium Value Customers
25838,DistName1,RetailerID85,335,2,205.85,1,1,5,20.0,20.0,100.0,3.28,4,Medium Value Customers
25839,DistName8,RetailerID90,335,6,561.2,1,3,5,20.0,60.0,100.0,3.84,4,Medium Value Customers
25840,DistName3,RetailerID90,335,4,494.82,1,2,5,20.0,40.0,100.0,3.56,4,Medium Value Customers
25841,DistName3,RetailerID74,335,3,520.89,1,1,5,20.0,20.0,100.0,3.28,4,Medium Value Customers
25842,DistName3,RetailerID83,335,1,70.71,1,1,5,20.0,20.0,100.0,3.28,4,Medium Value Customers
25843,DistName7,RetailerID95,335,16,2309.74,1,5,2,20.0,100.0,40.0,2.69,3,Potential-Medium Customers
25844,DistName8,RetailerID9,335,2,416.73,1,1,5,20.0,20.0,100.0,3.28,4,Medium Value Customers
25845,DistName4,RetailerID85,335,4,509.98,1,2,5,20.0,40.0,100.0,3.56,4,Medium Value Customers
25846,DistName6,RetailerID8,335,7,2369.81,1,3,2,20.0,60.0,40.0,2.13,3,Low Value Customers
25847,DistName6,RetailerID94,335,8,1380.01,1,3,3,20.0,60.0,60.0,2.7,4,Potential-Medium Customers
25849,DistName7,RetailerID74,304,11,1521.49,1,4,2,20.0,80.0,40.0,2.41,4,Low Value Customers
25850,DistName1,RetailerID15,304,1,100.2,1,1,5,20.0,20.0,100.0,3.28,4,Medium Value Customers
25851,DistName1,RetailerID72,304,3,554.68,1,1,5,20.0,20.0,100.0,3.28,4,Medium Value Customers
25852,DistName7,RetailerID85,304,7,778.76,1,3,4,20.0,60.0,80.0,3.27,4,Medium Value Customers
25853,DistName8,RetailerID9,304,5,1744.27,1,2,2,20.0,40.0,40.0,1.85,4,Lost Customers
25854,DistName8,RetailerID95,304,8,999.38,1,3,3,20.0,60.0,60.0,2.7,4,Potential-Medium Customers
25855,DistName3,RetailerID91,304,14,2558.5,1,5,2,20.0,100.0,40.0,2.69,3,Potential-Medium Customers
25856,DistName7,RetailerID79,304,9,4006.69,1,4,1,20.0,80.0,20.0,1.84,1,Lost Customers
25857,DistName7,RetailerID95,304,10,1468.09,1,4,3,20.0,80.0,60.0,2.98,4,Potential-Medium Customers
25858,DistName3,RetailerID214,304,2,537.85,1,1,5,20.0,20.0,100.0,3.28,4,Medium Value Customers
25859,DistName6,RetailerID98,304,6,1026.66,1,3,3,20.0,60.0,60.0,2.7,4,Potential-Medium Customers
25860,DistName7,RetailerID91,304,12,1169.14,1,4,3,20.0,80.0,60.0,2.98,4,Potential-Medium Customers
25861,DistName7,RetailerID95,304,23,4260.0,1,5,1,20.0,100.0,20.0,2.12,1,Low Value Customers
25863,DistName5,RetailerID81,304,11,2366.05,1,4,2,20.0,80.0,40.0,2.41,3,Low Value Customers
25864,DistName3,RetailerID8,304,17,5537.78,1,5,1,20.0,100.0,20.0,2.12,1,Low Value Customers
25865,DistName9,RetailerID90,304,13,1624.36,1,5,2,20.0,100.0,40.0,2.69,4,Potential-Medium Customers
25866,DistName1,RetailerID13,304,2,670.26,1,1,4,20.0,20.0,80.0,2.71,4,Potential-Medium Customers
25867,DistName7,RetailerID81,304,9,954.39,1,4,4,20.0,80.0,80.0,3.55,4,Medium Value Customers
25868,DistName3,RetailerID91,304,11,2356.15,1,4,2,20.0,80.0,40.0,2.41,3,Low Value Customers
25869,DistName5,RetailerID94,304,5,660.29,1,2,4,20.0,40.0,80.0,2.99,4,Potential-Medium Customers
25871,DistName1,RetailerID42,304,2,692.7,1,1,4,20.0,20.0,80.0,2.71,4,Potential-Medium Customers
25872,DistName3,RetailerID91,304,11,2739.63,1,4,1,20.0,80.0,20.0,1.84,3,Lost Customers
25874,DistName7,RetailerID61,304,16,1629.81,1,5,2,20.0,100.0,40.0,2.69,4,Potential-Medium Customers
25875,DistName1,RetailerID56,304,1,349.92,1,1,5,20.0,20.0,100.0,3.28,4,Medium Value Customers
25876,DistName6,RetailerID37,276,6,2538.92,2,3,2,40.0,60.0,40.0,2.28,3,Low Value Customers
25878,DistName6,RetailerID56,276,8,1724.68,2,3,2,40.0,60.0,40.0,2.28,4,Low Value Customers
25879,DistName8,RetailerID9,276,18,4628.01,2,5,1,40.0,100.0,20.0,2.27,1,Low Value Customers
25880,DistName3,RetailerID47,276,2,523.13,2,1,5,40.0,20.0,100.0,3.43,4,Medium Value Customers
25881,DistName6,RetailerID94,276,7,720.53,2,3,4,40.0,60.0,80.0,3.42,4,Medium Value Customers
25882,DistName8,RetailerID94,276,30,8061.93,2,5,1,40.0,100.0,20.0,2.27,2,Low Value Customers
25883,DistName3,RetailerID65,276,3,839.43,2,1,4,40.0,20.0,80.0,2.86,4,Potential-Medium Customers
25884,DistName8,RetailerID98,276,12,1780.2,2,4,2,40.0,80.0,40.0,2.56,4,Potential-Medium Customers
25885,DistName3,RetailerID58,276,7,866.6,2,3,4,40.0,60.0,80.0,3.42,4,Medium Value Customers
25886,DistName7,RetailerID95,276,30,6099.49,2,5,1,40.0,100.0,20.0,2.27,2,Low Value Customers
25887,DistName7,RetailerID98,276,28,5063.5,2,5,1,40.0,100.0,20.0,2.27,1,Low Value Customers
25888,DistName8,RetailerID81,276,9,4833.55,2,4,1,40.0,80.0,20.0,1.99,1,Lost Customers
25889,DistName6,RetailerID8,276,23,5201.04,2,5,1,40.0,100.0,20.0,2.27,1,Low Value Customers
25890,DistName3,RetailerID91,276,9,1761.58,2,4,2,40.0,80.0,40.0,2.56,4,Potential-Medium Customers
25891,DistName3,RetailerID21,276,4,658.84,2,2,4,40.0,40.0,80.0,3.14,4,Medium Value Customers
25892,DistName6,RetailerID35,276,3,808.2,2,1,4,40.0,20.0,80.0,2.86,4,Potential-Medium Customers
25893,DistName3,RetailerID34,276,2,3365.0,2,1,1,40.0,20.0,20.0,1.15,1,Lost Customers
25895,DistName6,RetailerID8,276,12,1747.64,2,4,2,40.0,80.0,40.0,2.56,4,Potential-Medium Customers
25896,DistName3,RetailerID82,276,5,1082.92,2,2,3,40.0,40.0,60.0,2.57,4,Potential-Medium Customers
25897,DistName3,RetailerID34,276,3,522.78,2,1,5,40.0,20.0,100.0,3.43,4,Medium Value Customers
25898,DistName6,RetailerID9,276,14,6684.36,2,5,1,40.0,100.0,20.0,2.27,2,Low Value Customers
25899,DistName4,RetailerID94,276,14,1349.93,2,5,3,40.0,100.0,60.0,3.41,4,Medium Value Customers
25900,DistName7,RetailerID79,276,28,4456.08,2,5,1,40.0,100.0,20.0,2.27,1,Low Value Customers
25901,DistName3,RetailerID101,276,1,175.72,2,1,5,40.0,20.0,100.0,3.43,4,Medium Value Customers
25903,DistName8,RetailerID91,215,18,1623.83,5,5,2,100.0,100.0,40.0,3.29,4,Medium Value Customers
25904,DistName7,RetailerID81,215,7,797.56,5,3,4,100.0,60.0,80.0,3.87,4,Medium Value Customers
25905,DistName7,RetailerID98,215,30,5403.29,5,5,1,100.0,100.0,20.0,2.72,1,Potential-Medium Customers
25906,DistName3,RetailerID27,215,3,894.19,5,1,4,100.0,20.0,80.0,3.31,4,Medium Value Customers
25907,DistName6,RetailerID9,215,8,1855.16,5,3,2,100.0,60.0,40.0,2.73,4,Potential-Medium Customers
25908,DistName6,RetailerID8,215,10,1047.17,5,4,3,100.0,80.0,60.0,3.58,4,Medium Value Customers
25909,DistName3,RetailerID91,215,8,879.33,5,4,4,100.0,80.0,80.0,4.15,4,High Value Customers
25910,DistName6,RetailerID82,215,9,1713.27,5,4,2,100.0,80.0,40.0,3.01,4,Medium Value Customers
25911,DistName7,RetailerID95,215,6,727.15,5,3,4,100.0,60.0,80.0,3.87,4,Medium Value Customers
25912,DistName3,RetailerID91,215,3,1265.08,5,1,3,100.0,20.0,60.0,2.74,4,Potential-Medium Customers
25913,DistName6,RetailerID95,215,24,6550.18,5,5,1,100.0,100.0,20.0,2.72,2,Potential-Medium Customers
25914,DistName8,RetailerID9,215,11,2909.56,5,4,1,100.0,80.0,20.0,2.44,3,Low Value Customers
25915,DistName8,RetailerID94,215,30,8419.04,5,5,1,100.0,100.0,20.0,2.72,2,Potential-Medium Customers
25916,DistName3,RetailerID81,215,6,987.59,5,3,3,100.0,60.0,60.0,3.3,4,Medium Value Customers
25918,DistName8,RetailerID90,215,30,7921.96,5,5,1,100.0,100.0,20.0,2.72,2,Potential-Medium Customers
25919,DistName8,RetailerID9,215,4,1057.8,5,2,3,100.0,40.0,60.0,3.02,4,Medium Value Customers
25920,DistName6,RetailerID8,215,26,6022.5,5,5,1,100.0,100.0,20.0,2.72,2,Potential-Medium Customers
